,0
0,Labour
1,The
2,March
3,Oliver
4,Howard
5,Russia
6,Muslims
7,But
8,Shipmans
9,Labour
10,There
11,November
12,Holy
13,BBC
14,TPS
15,Conservatives
16,You
17,Blair
18,Prescott
19,Tony
20,BNP
21,The
22,Boris
23,Information
24,David
25,His
26,There
27,Child
28,Den
29,Iraq
30,The
31,Home
32,Kilbride
33,Labours
34,Bill
35,Office
36,Muslims
37,Trust
38,Theres
39,December
40,Princes
41,Falconer
42,The
43,The
44,Gordon
45,The
46,Observer
47,Britons
48,Office
49,No-one
50,The
51,Interviewed
52,Conservatives
53,Muslims
54,BBC
55,Fox
56,Howard
57,Parliament
58,John
59,Thatcher
60,But
61,BNP
62,Earlier
63,[ID
64,Its
65,The
66,Indeed
67,And
68,Day
69,The
70,But
71,Britain
72,Blair
73,Labour
74,New
75,Iraq
76,And
77,Blunketts
78,John
79,Lib
80,The
81,However
82,National
83,MPs
84,Four
85,The
86,Pestons
87,BBC
88,Howard
89,Kilroy-Silk
90,UKIP
91,Labours
92,The
93,Budgets
94,Khan
95,Blair
96,Labour
97,That
98,That
99,Rowan
100,Howard
101,Milburn
102,But
103,Britain
104,Conduct
105,The
106,Brown
107,Paul
108,Howard
109,Cardiff
110,Gordon
111,Foreign
112,Iraq
113,Sher
114,John
115,Bill.
116,David
117,May
118,Today
119,Milburn
120,Radio
121,They
122,Standard.
123,But
124,Fiscal
125,Scotland
126,Alan
127,But
128,Labour
129,Chancellor
130,Marr
131,House
132,House
133,York
