All-Words,end,filename,n-gram,start,classtype,PRE_DIST_VERB,POST_DIST_VERB,PRE_DIST_STOPWORD,POST_DIST_STOPWORD,PrecedingTitle,Apostrophe,PRE_DIST_FROM_THE,PRE_DIST_FROM_POSITION
Baron,0,./markedupfiles/289.txt,1,0,False,100,1,100,100,False,False,False,100
Kinnock,1,./markedupfiles/289.txt,1,1,False,100,0,100,100,False,False,False,100
Lords,3,./markedupfiles/289.txt,1,3,False,1,100,100,100,False,False,False,100
Former,5,./markedupfiles/289.txt,1,5,False,3,100,100,100,False,False,False,100
Labour,6,./markedupfiles/289.txt,1,6,False,4,3,100,3,False,False,False,100
Neil,8,./markedupfiles/289.txt,1,8,False,100,1,100,1,False,False,False,100
Kinnock,9,./markedupfiles/289.txt,1,9,False,100,0,100,0,False,False,False,100
House,22,./markedupfiles/289.txt,1,22,False,100,3,1,0,False,False,False,100
Lords.,24,./markedupfiles/289.txt,1,24,False,100,1,1,1,False,False,False,100
Baron,29,./markedupfiles/289.txt,1,29,False,1,100,2,1,False,False,False,100
Kinnock,30,./markedupfiles/289.txt,1,30,False,2,100,3,0,False,False,False,100
Bedwellty,32,./markedupfiles/289.txt,1,32,False,4,100,1,1,False,False,False,100
Lord,38,./markedupfiles/289.txt,1,38,False,100,3,3,2,True,False,False,100
Kinnock,39,./markedupfiles/289.txt,1,39,False,100,2,4,1,False,False,False,100
Labour,43,./markedupfiles/289.txt,1,43,False,1,100,2,0,False,False,False,100
Britain's,54,./markedupfiles/289.txt,1,54,False,5,100,1,100,False,True,False,100
House,62,./markedupfiles/289.txt,1,62,False,100,3,1,0,False,False,False,100
Lords,64,./markedupfiles/289.txt,1,64,False,100,1,4,0,False,False,False,100
Upper,72,./markedupfiles/289.txt,1,72,False,3,1,1,1,False,False,False,100
House,73,./markedupfiles/289.txt,1,73,False,4,0,2,0,False,False,False,100
House,94,./markedupfiles/289.txt,1,94,False,2,100,1,0,False,False,False,100
Lords,96,./markedupfiles/289.txt,1,96,False,4,100,1,0,False,False,False,100
"""It",113,./markedupfiles/289.txt,1,113,False,3,0,3,0,False,False,False,100
During,140,./markedupfiles/289.txt,1,140,False,100,100,2,0,False,False,False,100
Upper,145,./markedupfiles/289.txt,1,145,False,100,3,1,3,False,False,False,100
House,146,./markedupfiles/289.txt,1,146,False,100,2,2,2,False,False,False,100
Lord,147,./markedupfiles/289.txt,1,147,False,100,1,3,1,True,False,False,100
Kinnock,148,./markedupfiles/289.txt,1,148,False,100,0,4,0,False,False,False,100
Lords,152,./markedupfiles/289.txt,1,152,False,3,100,1,3,False,False,False,100
Leader,153,./markedupfiles/289.txt,1,153,False,4,100,2,2,False,False,False,100
Baroness,154,./markedupfiles/289.txt,1,154,False,5,100,3,1,False,False,False,1
