,3.5mm jack,Battery ,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
2735,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2736,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2737,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Microsoft Lumia 540 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2738,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2739,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Micromax Canvas Fire 4 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2740,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2741,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2742,,,,,,,,"YK RETAIL YKR-DZ-09 BLACK, SILVER, GOLDEN Smartwatch",ANDROID,‚¹749,2.0 MP,,,,,75 g,
2743,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Micromax Canvas Magnus A117 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2744,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2745,,,,,,,,Wokit DZ09-23 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Black Smartwatch,Android Wear,"‚¹1,099",2 MP,,,,,,
2746,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2747,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with HTC Desire 626GWith Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2748,,,,,,,,Techno Frost DZ Silver Smartwatch,Android,"‚¹1,158",0.3 MP,,,,,,
2749,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2750,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Xolo A600 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2751,,,,,,,,HealthMax DZ09-53 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver Smartwatch,Android Wear,"‚¹1,099",2 MP,,,,,,
2752,,,,,,,,"888 DZ09 Brown Bluetooth, Sim, Memory Card Slot, Camera Fitness Tracker Smartwatch Smartwatch",Android,"‚¹1,300",0.3 MP,,,,,70 g,
2753,,,,,,,,Skovin DZ09 Smartwatch,Android Wear,‚¹749,1.9 MP,,,,,,
2754,,,,,,,,Bingo C7 With Sim & Bluetooth Enable with Internet Surfing Silver Smartwatch,,"‚¹1,899",,,,,,,
2755,,,,,,,,Misfit Vapor Smartwatch,Android Wear 2.0,"‚¹14,495",,,,,,,
2756,,,,,,,,BOOM U8 Red Smartwatch,Android,‚¹664,,,,,,200 g,
2757,,,,,,,,Always Fit Bluetooth and Fitness Tracker Smartwatch Black Smartwatch,,"‚¹1,499",,,,,,,
2758,,,,,,,,CYXUS oppo 4G Compatible Bluetooth DZ09 Wrist Watch Phone with Camera & SIM Card Support Black Black Smartwatch,Android ios,‚¹996,1.3 MP,,,,,,
2759,,,,,,,,Avyana Sim Card and Memory Cards Supported Bluetooth Android and IOS Series Smartwatch,Android,‚¹939,1.3 MP,,,,,75 g,
