Name,Price_INR,In The Box,Model Number,Model Name,Color,Browse Type,SIM Type,Hybrid Sim Slot,Touchscreen,OTG Compatible,Display Size,Resolution,Operating System,Processor Core,Primary Clock Speed,Internal Storage,RAM,Memory Card Slot Type,Primary Camera,Network Type,Supported Networks,Battery Capacity,Warranty Summary,GPRS,Removable Battery,Video Recording,Mini USB Version,Dial Color,Flash,EDGE Features,Audio Jack,Reading Type,Width,Battery Life,Important Apps,Predictive Text Input,Usage,Number of Cores,Sensor,Processor Speed,Sweat Proof,Indicator Type,Number of Buttons,Brand,Pre-installed Browser,Mini HDMI Port,Talk Time,Call Function,Scratch Resistant,Charging Method,Email Support,Speaker Volume,Number of Contact Points,Depth,Calorie Count,WAP Version,Call Divert,Shock Resistant,Operating Range,International Warranty,Display Type,Dual Camera Lens,Sales Package,Maximum Operating Altitude,Operating Frequency,GPU,Display,Standby Time,GPS,Diameter,Supported Memory Card Type,Frame Rate,Service Type,Voice Control,Java Application,Messaging Support,Primary Camera Available,Infrared,Music Player,Quick Charging,Supported Apps,One Touch Button,warranty_summary,Wi-Fi Hotspot,Activity Tracking Function,Call Records,Dial Shape,Thickness,Music Time,Supported Audio Format,Image Editor,Video Call Support,Compatible Device,Touch Enabled,Dual Battery,Bluetooth,3G,Optical Zoom,Display Resolution,Audio Formats,Bluetooth Support,Charger Type,Touch Control,Instant Message,Alarm Clock,Material,TV Out,Audio Features,Additional Content,Strap Color,Battery Type,Sensors,Internal Memory,Altimeter,Voice Input,Activity Tracker Present,Touchscreen Type,NFC,Step Count,Care Instructions,Display Colors,Social Networking Phone,Field of View,Other Features,Charging Time,Call Wait/Hold,User Memory,Chronograph,Full HD Recording,SIM Access,Logs,Keypad,Certification,Compatible Operating System,GPRS Features,Compatible Devices,Date & Time Display,Micro USB Port,User Interface,3G Speed,Conference Call,Expandable Storage,Connectivity Range,Calendar,Size,Backlight Display,JAVA Support,Microphone,Water Resistant,Rechargeable Battery,Notification,Graphics PPI,SMS,Phone Book Memory,Speed Dialing,Expandable Memory,Operating Temperature,Keypad Type,Noise Cancellation,Bluetooth Range,Supported Languages,USB Tethering,USB Connectivity,Wifi Enabled,Water Resistance Depth,Charge Time,Hot SWAP Support,Ringtones Format,Heart Rate Monitor,Compass,Supported Video Format,Other Display Features,HD Playback,Not Covered in Warranty,Closure,Other Connectivity Features,Language,Ideal For,Video Formats,Ergonomic Design,Audio Transparency,Compatible With,Browser,FM Radio Recording,Sound Enhancements,Brand Color,Technology Used,Primary Camera Features,WAP,Wireless Options,Mobile Tracker,Weight,MMS,Height,Map Support,HD Recording,Call Log Memory,Digital Zoom,Secondary Camera,Processor Type,Bluetooth Version,Wireless Charging,Water-Resistant Depth,Third Party App Support,not_covered_in_warranty,Mini USB Port,covered_in_warranty,Video Recording Resolution,Other Multimedia Features,Speaker Phone,Wifi Version,Speaker,Function,Battery Chargeable,Dial Material,Sensor Type,Suitable For,Call Timer,Type,Covered in Warranty,Strap Material,Other Fitness Features,Bluetooth Enabled,Talk time,FM Radio,Warranty Service Type,service_type,Wireless Data Processing,SIM Size,Audio Jack Supported,Stand By Time,Secondary Camera Available,Secondary Clock Speed,Other Dimensions,Notification Type,Secondary Camera Features,Processor Name,Wi-Fi Version,Heart Rate Monitor Present,Other Battery Features,Compatible OS,Hands Free,Smartphone,Games,Upgradable Operating System,Phone Book,Operating System Supported,SMS Memory,Wi-Fi,Resolution Type,Total Memory,Gesture Control,Type of Tracking,HD Game Support,DLNA Support,Series,GPS Support,Call Features,Internet Connectivity,EDGE,Business Phone,Other Watch Functions,Other Camera Features,Micro USB Version,Video Features,Domestic Warranty
"Lava Z60 (Gold, 16 GB)Â Â (1 GB RAM)","‚¹5,499","Handset, Battery, Charger, USB Cable, Earphones, Screen Guard, Back Cover, Warranty Card",,Z60,Gold,Smartphones,Dual Sim,No,Yes,No,5 inch,854 x 480 Pixels,Android Nougat 7,Quad Core,1.1 GHz,16 GB,1 GB,Dedicated Slot,5MP,"4G VOLTE, 3G, 2G","4G LTE, 4G VoLTE",2500 mAh,Brand Warranty of 2 Year Available for Mobile and 6 Months for Accessories,Yes,Yes,Yes,,,Rear Flash and Front Spotlight Flash,,3.5 mm,,72.3 mm,,,,,,,,,,,,,,,,,,,,,9.1 mm,,,,,,,,,,,"GSM - 900 / 1800 MHz, WCDMA - 2100 MHz, 4G LTE - Band (2300, 850, 1800 MHz)",,,,,,microSD,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,Yes,,,MP3,Yes,,,,,,,,,,,Accelerometer,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,32 GB,,,,,,,,,,196 PPI,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,"3GP, AVI, MP4",,,,,,,,,"Auto Focus, F2.0, Dual Bokeh (Front + Rear Camera), Beauty, Funy Cam, Super Night, Full HD Video recording, Video Playback, Video Beauty, Time Lapse Video",,,,149 g,,143.6 mm,Google Maps,Yes,,,5MP,MTK6737,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,Yes,,,,Micro SIM and Nano SIM,,,Yes,,,,,,,,,,,,,,,,,Yes,FWVGA,,,,,,,Yes,,"4G, 3G, GPRS, EDGE, Wi-Fi",Yes,,,,,,
Blackzone 230 MiniÂ Â (Blue & Black),‚¹639,"Handset, Battery, Charger",230 Mini,230 Mini,Blue & Black,Feature Phones,Dual Sim,No,No,No,1.8 inch,320 x 240$$Pixels,,,1 MHz,10 MB,10 MB,Dedicated Slot,0.3MP,2G,"GSM, GSM",1000 mAh,12 Months Warranty,Yes,Yes,Yes,,,Yes,,3.5 mm,,,,,,,,,,,,,,Yes,,100 Hours,,,,,,,,,,Yes,,,,,Primary Camera,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,Yes,,,,,,,,,No,,,Yes,,"MP3, MP4",Yes,,,,,,,,,,Li-Ion,,,,,,,,,,,Yes,,Vibration Mode,,Yes,,,,,Yes,Yes,,,,,,Yes,,,,16 GB,,,,,,,,,,,Yes,Yes,,,,Alphanumeric,,,22 Regional Languages,,Yes,,,,,,,,,,,"Physical Accidental Damage, Any Damage Caused due to Water",,,,,,,,,Yes,,,,,0.3 MP,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,Manufacturing Defects,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,,,,,,,,,2G,,,,,,,1 Year
Winstar W11Â Â (coffee),‚¹999,"Handset, Battery, Charger, Headset",W11,W11,coffee,Feature Phones,Dual Sim,No,No,No,2.4 inch,240 x 360$$Pixels,,,1.2 MHz,32 MB,32 MB,Dedicated Slot,0.8MP,2G,"GSM, GSM",3800 mAh,Manufacturing Defects,,Yes,,,,Yes,,3.5 MM,,,,,No,,,,,,,,,,,12 Hours,,,,,,,,,,Yes,,,,,,,,,,,,,,micro SD,,,,,,Yes,,Yes,No,,,,,,,,,,,,No,,,No,,No,,,"MP3, WAV, MIDI",Yes,,,,,,,,,,Li-Ion,,,,,,,,,,,,,,,Yes,,,,Dual SIM,,Yes,,,,,,Yes,,,Yes,16 GB,,,,,,,,,,,Yes,500,,,,Alphanumeric,,,"English, HIndi",,Yes,,,,,"MP3, WAV, MIDI, Polyphonic",,,,,,,,,,,"MP4, 3GP",,,,,,,,,0.8 MP,,,,140 g,Yes,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,Manufacturing Defects,,,Mini SIM,,,,,,,,,,,,,Yes,No,,,Yes,,100,,,,,,,,,,,,,,,,,,1 Year
"Xolo ERA 1X Pro (Black, 16 GB)Â Â (2 GB RAM)","‚¹5,499","Handset, Earphone, Charger, USB Cable, Warranty Card",ERA 1X Pro,ERA 1X Pro,Black,Smartphones,Dual Sim,No,Yes,No,5 inch,720 x 1280 Pixels,Android Marshmallow 6,Quad Core,1.5 GHz,16 GB,2 GB,Dedicated Slot,8MP,"4G VOLTE, 3G, 2G","4G VoLTE, GSM",2500 mAh,1 Year Warranty,Yes,Yes,Yes,,,Front Screen Flash with Dual LED Flash,,3.5 mm,,,,,Yes,,,,,,,,,"Facebook, YouTube",,10 hrs,,,,,,,,,,Yes,,,,,,,,,,,,,,microSD,,,,Yes,,Yes,,Yes,Yes,,,,Yes,,Yes,,,,,,Yes,,,,,Yes,,,MP3,Yes,,,No,,,No,,,,,Accelerometer,,,,,,,,,16 M,Yes,,,,Yes,,,,,Yes,,,,,,,Yes,,7.2 Mbps,Yes,,,,,,Yes,,,,,,Yes,2000,Yes,,,,,,,Yes,Yes,,,,,MP3,,,,,,,,,,,MP4,,,,,Yes,,,,"Auto Focus Rear Camera with 3P Largan Lens, f/2.4",Yes,,Yes,,Yes,,Google Maps,Yes,Yes,,5MP,Spreadtrum,A2DP,,,,,Yes,,1280 x 720 Pixels,,Yes,,,,,,,,Yes,,,,,,,Yes,,,,,,,Yes,,,,"Front Camera with Screen Flash (LCD Working as a Flash), 3P Lens & f/2.2",,,,,,Yes,Yes,,,Yes,,1000,Yes,HD,,,,,,ERA,,,"4G, 3G, Wi-Fi, GPRS, EDGE, WAP",Yes,,,,,,
"Asus Zenfone Zoom S (Navy Black/Black, 64 GB)Â Â (4 GB RAM)","‚¹25,999","Handset, Asus Zen Earphone, Type C Cable, Ejector Pin, USB Power Adapter, Warranty Card, User Guide",ZE553KL-3A121IN,Zenfone Zoom S,Navy Black/Black,Smartphones,Dual Sim,Yes,Yes,Yes,5.5 inch,1920 x 1080 pixels,Android Nougat 7.0,Octa Core,2 GHz,64 GB,4 GB,Hybrid Slot,12MP + 12MP,"4G VOLTE, 3G, 2G","4G VoLTE, 4G LTE",5000 mAh,Brand Warranty of 1 Year,,,Yes,,,,,3.5 mm,,77 mm,,Demo App,,,,,,,,,,Android,,,,,,,,,7.99 mm,,,,,,,AMOLED,Primary Camera,,,"GSM - 850, 900, 1800, 1900 MHz, WCDMA - Bands (1, 5, 8), 4G FDD-LTE - Bands (1, 3, 5, 8), TD-SCDMA - (Band 40)",Adreno 506,,,,,microSD (SDXC),60 fps,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,MP3,Yes,,,,,,,,,,,"Accelerator, E-Compass, Proximity, Gyroscope (for Camera EIS Require), Ambient Light Sensor, IR Sensor, RGB Sensor, Fingerprint Sensor",,,,,,,,,,,,"Flash: eMCP, Google Driver (100 GB Free), Asus Web Storage: 5G / Lifetime, Video: 4K 3840 x 2160 Pixels, FHD 1920 x 1080 Pixels, FHD 1920 x 1080 (60 FPS), HD 1280 x 720 Pixels, TV 640 x 480 Pixels, Cat 4 DL 150 MB and UL 50 MB, Micro USB Type C, Miracast",,,,,Yes,,,,,,,,,Yes,ZenUI 3.0,DC - HSPA+ (DL / UL): 42 / 5.76 Mbps,,2 TB,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,"GFF Touch Panel (Support AS-coating), Brightness - 500 nits",,,,,,,,,,,,,"5 Magnet Speaker, NXP Smart AMP, DTS Headphone: X 7.1 ch Virtual Surround Sound Over Headphones, Dual Microphone for Active Call Noise Cancellation",,,"Dual Camera: Sony IMX362 with OIS and EIS (Wide, 6P, F/1.7, Sensor 1/2.55 inch, 1.40 micrometer, FOV 82Degree, Focal Length 25 mm), Samsung 3M3 (Tele, 5P, Optical Zoom 2.3x, F/2.6, Sensor 1/3.42 inch, 1 micrometer, FOV40Degree Focal Length 59 mm), External Pre ISP (RK1608) for NR (Noise Reduction), VCM Close Loop, 2nd Gen Laser AF, Continuous Focus, Dual PDAF, 4K Video Recording",,,,170 g,,154.3 mm,Google Maps,Yes,Yes,12x,13MP,Qualcomm Snapdragon 625 Octa Core 2GHz,4.2,,,,,,,3840 x 2160,,,,,,,,,,,,,,,,,Yes,,,,Micro SIM and Nano SIM,,,Yes,,,,"Sony IMX214, F/2.0, FOV 77Degree, 1.12 micrometer, 5P Lens, Sensor 1/3.06 inch",,802.11 b/g/n,,,,,Yes,,,Yes,,,Yes,Full HD,,,,,,,Yes,,"4G, 3G, Wi-Fi",,,,,,,
"Karbonn A1 INDIAN 4G with VoLTE (Champagne, 8 GB)Â Â (1 GB RAM)","‚¹3,049","Handset, Back Cover, Charger, Earphone, Battery, Warranty Card",A1 INDIAN 4G with VoLTE,A1 INDIAN 4G with VoLTE,Champagne,Smartphones,Dual Sim,No,Yes,No,4 inch,800 x 480 Pixels,Android Nougat 7.0,Quad Core,1.1 GHz,8 GB,1 GB,Dedicated Slot,3.2MP,"4G VOLTE, 3G, 2G","4G VoLTE, GSM",1500 mAh,1 Year on Handset and 6 Months on Accessories,,Yes,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Lithium Ion,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,32 GB,,,,,,,,,,,,,,,,,,,22 Indian Languages Support,,,,,,,,,,,,,Physical Damage,,,,,,,,,,,,,,,,,,116 g,,,,,,,2MP,,,,,,,,,,,,,,,,,,,,,,,,,,,Customer has to visit Karbonn Authorize service centre in case of any issue,,,Micro SIM,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Yu Yunique Plus (Black, 8 GB)Â Â (2 GB RAM)","‚¹4,999","Handset, Battery, Charger, Earphone, User Guide",YU4711+,Yunique Plus,Black,Smartphones,Dual Sim,No,Yes,Yes,4.7 inch,1280 x 720 Pixels,Android Lollipop 5.1.1,Quad Core,1.2 GHz,8 GB,2 GB,Dedicated Slot,8MP,"4G VOLTE, 4G, 3G, 2G","4G LTE, WCDMA",2000 mAh,1 Year Manufacturer Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScreenGuard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gfive N9Â Â (Black),‚¹639,"Handset, Battery, Charger, User Manual",N9,N9,Black,Feature Phones,Dual Sim,No,No,No,1.8 inch,240 x 260 Pixels,,,,16 MB,32 MB,Dedicated Slot,0.3MP,2G,"GSM, GSM",950 mAh,1 YEAR MANUFACTURER WARRANTY & 6 Months on Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gfive W1 Four GSM SimÂ Â (Black),"‚¹1,085","Handset, Battery, Charger, User Manual",,W1 Four GSM Sim,Black,Feature Phones,Four Sim,,,,2.2 inch,240 x 320 Pixels,,,,,,,0.3MP,,"GSM, GSM, GSM, GSM",3000 mAh,1 Year Manufacturer Warranty,,,Yes,,,,,,,48.6 mm,,,,,,,,,,,,,,,,,,,,,15.5 mm,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,32 GB,,,,,,,,,,,Yes,Yes,,,,Alphanumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121 g,,112.6 mm,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,QVGA,,,,,,,,,,,,,,,,
Lava Prime XÂ Â (Blue & Sliver),"‚¹1,389","Handset, Charger, Earphone, Battery, User Manual, Warranty Card",Prime X,Prime X,Blue & Sliver,Feature Phones,Dual Sim,No,No,No,1.8 inch,120 x 160$$Pixels,,,1 MHz,32 MB,32 MB,Dedicated Slot,1.3MP,2G,"GSM, GSM",800 mAh,2 Year Replacement Warranty & 6 Months Accessories Warranty,,Yes,Yes,,,,,3.5 mm,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microSD,,,,,,Yes,,MP3 Music Player,,,,,,,Yes,,,,,,No,,,,,,,,MP3,Yes,,,,,,,,,,Li-Ion,,,,No,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,32 GB,,,,,,,,,,,Yes,1000,Yes,,,Alphanumeric,,,"Hindi, English and Tamil",,Yes,,,,,,,,,,,Physical & Water Damage,,,,,"MP4, 3GP",,,,,Yes,,,,1.3 MP,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,Micro SIM,,,No,,,,,,,,,,Yes,No,,,Yes,,200,,Quarter QVGA,,,,,,Prime,,,,,,,,,,
"Sony Xperia XA1 Ultra Dual (Gold, 64 GB)Â Â (4 GB RAM)","‚¹25,990","Mobile, Quick Charger, Type C Data Cable, Startup Guide, Stereo Headphones",G3226,Xperia XA1 Ultra Dual,Gold,Smartphones,Dual Sim,No,Yes,Yes,6 inch,1920 x 1080 pixels,Android Nougat 7,Octa Core,2.3 GHz,64 GB,4 GB,Dedicated Slot,23MP,"4G VOLTE, 3G, 2G","4G LTE, 4G LTE",2700 mAh,Brand Warranty of 1 Year,Yes,,Yes,,,Smart Selfie Flash,,,,79 mm,,,,,,,,,,,,Android,,,,,,,,,8.1 mm,,,,,,,,,,,,,,,,,microSDXC,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,Yes,,,MP3,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,"Battery: Qnovo Adaptive Charging, Stamina Mode, Quick Charging (MediaTek Pump Express 2.0), LTE (4G) Cat 4 / Cat 6, WiFi Miracast, Google Cast, USB Type C",,,,,,,,,,,,,,,,HSPA+,,256 GB,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,"Image Enhance Technology, Corning Gorilla Glass, Borderless Screen with 2.5D Curved Glass",,,,,,,,,,,,,"Smart Amp, ClearAudio+, Stereo Recording",,,"1/2.3 inch Exmor RS for Mobile Image Sensor, Hybrid Autofocus, Quick Launch and Capture, Low-Light Photo: ISO6400, 24 mm Wide-angle F2.0 Lens, 5x Clear Image Zoom, Steady Shot, Low-light Photo: ISO 6400",,,,188 g,,165 mm,Google Maps,,Yes,,16MP,Helio P20 64-bit,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nano SIM,,,Yes,1.6 GHz,,,"1/2.6 inch Exmor R for Mobile for Mobile Image Sensor, Low-light Photo: Upto ISO 6400, 23 mm Wide-angle Lens F2.0, OIS (Optical Image Stabilisation), Selfie",,,,,,,Yes,,,Yes,,,Yes,Full HD,,,,,,,Yes,,"4G, 3G, Wi-Fi, GPRS, EDGE",Yes,,,,,,
"Honor Holly 2 Plus (White, 16 GB)Â Â (2 GB RAM)","‚¹6,499","Handset, Charger (5V/2A), Data Cable, Warranty Card, User Manual",TIT- AL00,Holly 2 Plus,White,Smartphones,Dual Sim,,Yes,No,5 inch,1280 x 720 Pixels,Android Lollipop 5.1,Quad Core,1.3 GHz,16 GB,2 GB,,13MP,"4G, 3G, 2G","4G LTE, 4G LTE",4000 mAh,Brand Warranty of 1 Year,Yes,No,Yes,,,LED,Class 12,3.5 mm,,71.8 mm,,Android Native,,,,,,,,,,Android,,,,,,,,,9.7 mm,,,,,,,IPS LCD,,,,"GSM - 900, 1800, 1900; UMTS - 900, 2100; 4G LTE (FDD) - Band 1 (1900), Band 3 (1800), LTE (TDD) - Band 38, Band 39, Band 40 (2300); CDMA BC0: 800M",Huawei EMUI 3.1 LITE,,,,,MicroSD,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,,,"MP3, WAV, OGG, MID, AMR, AAC, AAC+",Yes,,,,,,,,,,Li-Polymer,"G-Sensor, Proximity Sensor, Light Sensor",,,,,,,,,16 M,,,"Wi-Fi Direct, Standby Time (4G): 720 hrs, Calendar, Notes, Themes, Calculator, Flashlight, Video Backup, Weather, Clock, Sound Recorder, 	
Reverse Charging",,,,,,Dual Standby,,,,,Class 12,,,Yes,,42 Mbps HSDPA; 11.5 Mbps HSUPA,,128 GB,,,,,,,,,,,Yes,Yes,,,,,,,"Supports 4 Languages: Simplified Chinese, Traditional Chinese, US English, Hindi",Yes,Yes,,,,,,,,,Full Touch Screen Supporting 5-point Multi-touch,,,,,,,"MP4, 3GP, H.264, H.263, DivX, XviD, MKV",,,,,,,,,Auto Focus,,,,160 g,Yes,143.1 mm,Google Maps,Yes,Yes,,5MP,ARM Cortex-A53 MTK MT6735P Quad Core 1.3GHz,4,,,,,,,1280 x 720,,,,,,,,,,,,,,,,,Yes,,,,Micro SIM,,,Yes,,,,"Fixed Focus, HD Video Recording",,802.11 b/g/n,,,,,Yes,,,Yes,,Yes,Yes,HD,,,,,,,Yes,,"4G, 3G, Wi-Fi, GPRS, EDGE",Yes,,,,2,,
Samsung Guru 1200Â Â (Black),"‚¹1,100","Handset, Battery, Charger, User Manual, Warranty Card",GT-E1200ZKYINS,Guru 1200,Black,Feature Phones,Single Sim,,,,1.5 inch,128 x 128 Pixels,,,,,,,0MP,2G,GSM,800 mAh,1 Year for Mobile & 6 Months for Accessories,,,,,,,,,,45.5 mm,,,,,,,,,,,,,,,,,,,,,12.8 mm,,,,,,,TFT,,,,"GSM - 900, 1800",,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,65 K,,,Torch,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,1000,,,,Alphanumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1 g,,109.5 mm,,No,Yes,,,0 0 0 0 Processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini SIM,,,No,,,,,,,,,,,No,,,Yes,,Yes,No,NA,,,,,,,No,,,,,,,,,
Lava Captain 9sÂ Â (Black Red),‚¹969,"Handset, Charger, Battery, User Manual",Captain 9s,Captain 9s,Black Red,Feature Phones,Dual Sim,No,No,No,1.8 inch,120x160 Pixels,,,1 GHz,32 KB,32 MB,Dedicated Slot,0.3MP,2G,"GSM, GSM",1750 mAh,Brand Warranty of 2 Year Available for Mobile and 6 Months for Accessories T &C,,Yes,,,,,,3.5mm,,48 mm,,,,,,,,,,,,,,,,,,,,,15 mm,,,,,,,,,,,,,,,,,microSD,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,MP3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,32 GB,,,,,,,,,,,Yes,1000,,,,Alphanumeric,,,Multi Languages Supports,,,,,,,,,,,,,Physical Damage,,,,,MP4/3GP,,,,,,,,,,,,,53 g,,115 mm,,,,,,,,,,,,,,,,,,,,,,,,,,Customer has to visit Authorize service centre in case of any issue,,,,,Yes,Customer has to visit Authorize service centre in case of any issue,,,,,,,,,,,,,,,,,No,,,Yes,,300,,,,,,,,,,,,,,,,,,
Micromax X908Â Â (Black),"‚¹1,469",handset!!battery!!charger,x908,X908,Black,Feature Phones,Dual Sim,No,No,No,2.8 inch,320x480,,,,40 MB,56 MB,,0.03MP,"2G, 2G","GSM, GSM",1450 mAh,1 Year for Mobile & 6 Months for Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karbonn Yuva 2 (Black, 16 GB)Â Â (2 GB RAM)","‚¹4,699",NA,Yuva 2,Yuva 2,Black,Smartphones,Dual Sim,No,Yes,No,5 inch,1280 x 720$$Pixels,Android Nougat 7,Quad Core,1.25 GHz,16 GB,2 GB,Dedicated Slot,5MP,"4G, 3G, 2G","4G VoLTE, UMTS, GSM",2250 mAh,1 Year Brand Warranty on Handset,,Yes,Yes,,,,,3.5mm,,72.4 mm,,,,,,,,,,,,,,,,,,,,,9.6 mm,,,,,,,HD IPS Display,,,,,,,,,,micro SD,,,,,,Yes,,Available,,,,,,,,,,,,,Yes,,,,,,,,Mp3,Yes,,,,,,,,,,Li-Ion,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,128 GB,,,,,,,,,,,Yes,,,,,,,,Multi Language supports,,Yes,,,,,,,,,,,,,,,,Mp4,,,,,Yes,,,,5 MP Rear Camera with LED Flash,,,,170 g,,144.2 mm,Google map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Customer has to Visit Karbonn Authorize Service Center in Case of Any Issue.,,,,,,Yes,,,,3.2 Mp Selfie camera,,,,,,,Yes,,,Yes,,,Yes,HD,,,,,,Yuva,,,Yes,,,,,,,
Gfive WP89Â Â (Champagne Gold),‚¹969,"Handset, Battery, Charger, User Manual",WP89,WP89,Champagne Gold,Feature Phones,Dual Sim,No,No,No,2.4 inch,240 x 320$$Pixels,0,,,64 MB,32 MB,Dedicated Slot,0.3MP,2G,"GSM, GSM",2200 mAh,"1 Year Manufacturer warranty for which the customer can contact G'Five Customer care at +9111-33549027, +919582750855 or mail us @ customercare.konnect@gmail.com",Yes,Yes,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,"800, 900, 1800, 1900 MHz",,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,,,MP3,Yes,,,,,,,,,,Li-Ion,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,Yes,8 GB,,,,,,,,,,,Yes,,,,,Alphanumeric,,,,,,,,,,,,,,,,,,,,,MP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,1 Year Manufacturer Warranty,,,,,,No,,,,,,,,,,,No,,,Yes,,,,QVGA,,,,,,,,,,,,,,,,1 Year
"Gfive A98 Combo of Two MobileÂ Â (Champagne, Black)","‚¹1,859","2 Mobiles, 2 batteries, 2 charger",A98,A98 Combo of Two Mobile,"Champagne, Black",Feature Phones,Dual Sim,No,No,No,1.8 inch,128*160,0,,,64 MB,32 MB,Dedicated Slot,0.3MP,2G,GSM,600 mAh,1 YEAR MANUFACTURER WARRANTY,,No,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,,,MP3,Yes,,,,,,,,"Battery, charger",,Lithium-ion,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,Yes,16 GB,,,,,,,,,,,Yes,,,,,Alphanumeric,,,,,,,,,,,,,,,,,,,,,MP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"1 Year Manufacturer Warranty for which the customer can contact our customer care at: +9111-33549027, +919582750855 or mail us @ customercare.konnect@gmail.com",,,,,,No,,,,,,,,,,,No,,,Yes,,,,,,,,,,,,,,,,,,,,1 Year
